url,course_name,provider_name,category,description,,
https://www.pluralsight.com/courses/identity-protection-importance-cyber-security,Cyber Security Awareness: The Importance of Identity Protection,Pluralsight,computer_science,This course explores the basics of identity protection in the modern world.,,
https://www.pluralsight.com/courses/veeam-monitor,Veeam Monitor,Pluralsight,computer_science,This course will show you how to leverage Veeam Monitor to help keep your virtual infrastructure running at peak performance and stay ahead of troubleshooting.,,
https://www.pluralsight.com/courses/telerik-reporting,Telerik Reporting Fundamentals,Pluralsight,business,Learn how to use Telerik Reporting to add reports to your application.,,
https://www.pluralsight.com/courses/adfs-logon-server-by-example,ADFS 1 Logon Server by Example,Pluralsight,computer_science,Learn how to use ADFS Logon Server by example.,,
https://www.pluralsight.com/courses/angular-2-animations,Working with Angular Animations,Pluralsight,arts_and_design,This course will help you learn how to make your apps come to life by integrating Angular 2 Animations.,,
https://www.pluralsight.com/courses/rigging-cartoon-char-blender-2083,Rigging a Cartoon Character in Blender,Pluralsight,arts_and_design,"Throughout these lessons, wex27ll be covering the topics necessary to create an advanced rig in Blender from start to finish. Software required: Blender 2.72.",,
https://www.pluralsight.com/courses/beginners-guide-mudbox-22,Beginnerx27s Guide to Mudbox,Pluralsight,arts_and_design,"In this course, we will learn the basics of working in Mudbox. Software required: Mudbox 2012 and up.",,
https://www.pluralsight.com/courses/linkedin-fundamentals,LinkedIn Fundamentals,Pluralsight,business,LinkedIn for career management and business growth. Strategies and tactics to help you with networking and branding.,,
https://www.pluralsight.com/courses/using-visio-2016,Using Visio (2016),Pluralsight,arts_and_design,"This introductory course will get you up and running with Microsoftx27s powerful diagramming application, Visio 2016.",,
https://www.pluralsight.com/courses/mono-touch,MonoTouch,Pluralsight,computer_science,In this course you will learn to develop a complete iOS application using MonoTouch,,
https://www.pluralsight.com/courses/drawing-first-set-plans-autocad-1527,Drawing Your First Set of Plans in AutoCAD,Pluralsight,arts_and_design,"In this set of tutorials, youx27ll learn how to draw your very first set of architectural plans. Software required: AutoCAD 2014.",,
https://www.pluralsight.com/courses/animation-layers-maya-3577,Animation Layers in Maya,Pluralsight,arts_and_design,Learn a powerful workflow to the new animation layering feature set in Maya 2009. Software required: Maya 2009 and up.,,
https://www.pluralsight.com/courses/database-your-friend,Your Database Is Your Friend,Pluralsight,computer_science,Learn how to use your database to make your Ruby on Rails applications rock solid.,,
https://www.pluralsight.com/courses/designing-windows8-applications,Designing Windows 8 Apps,Pluralsight,arts_and_design,Design great apps that your users will love.,,
https://www.pluralsight.com/courses/getting-started-podcasting,Getting Started in Podcasting,Pluralsight,marketing,An introduction and how-to guide to starting your own podcast.,,
https://www.pluralsight.com/courses/utilizing-3d-features-photoshop-464,Utilizing the 3D Features of Photoshop,Pluralsight,arts_and_design,"In this series of lessons, we will be exploring many of the 3D features found in Photoshop. Software required: Photoshop CS5 and higher.",,
https://www.pluralsight.com/courses/sqlserver-build-simple-asynchronous-applications,SQL Server: Building Simple Asynchronous Applications,Pluralsight,computer_science,"This course explains and demonstrates the basic configuration of Service Broker and how to build single-database, asynchronous applications using the Service Broker components provided by SQL Server.",,
https://www.pluralsight.com/courses/mastering-java-swing-part1,Mastering Java Swing - Part 1,Pluralsight,computer_science,UI Elements,,
https://www.pluralsight.com/courses/exploring-layer-effects-styles-photoshop-1810,Exploring Layer Effects and Styles in Photoshop,Pluralsight,arts_and_design,Welcome to this tutorial where wex27ll explore various layer effects and styles in Photoshop. Software required: Photoshop CC 2014.,,
https://www.pluralsight.com/courses/intro-renderman-maya-3308,Introduction to RenderMan for Maya,Pluralsight,arts_and_design,Give your work a visual edge. Learn production tested techniques and begin creating cinematic-quality imagery using Pixarx27s award-winning technology. Software required: RenderMan for Maya 2.0.,,
https://www.pluralsight.com/courses/azure-sql-data-warehouse-first-look,Azure SQL Data Warehouse: First Look,Pluralsight,data_science,"Azure SQL Data Warehouse is Microsoft Azurex27s Database as a Service offering. This course teaches the differences between this service and SQL Server, designing your database for the service, loading and migrating data, scaling and basic monitoring.",,
https://www.pluralsight.com/courses/managing-dhcp-using-powershell,Managing DHCP With PowerShell,Pluralsight,computer_science,This course looks at how you can manage the DHCP Server in Windows Server using Powershell.,,
https://www.pluralsight.com/courses/wedding-filmmaking-fundamentals,Wedding Filmmaking Fundamentals,Pluralsight,arts_and_design,"Filming a wedding is a unique privilege that is rewarding but daunting. In this course, Wedding Filmmaking Fundamentals, you’ll learn everything you need to know about capturing a wedding film. Youx27ll learn how to work with the couple, key shots, camera positioning during events, and more! Take the course today!",,
https://www.pluralsight.com/courses/ionic-cli,Ionic CLI,Pluralsight,computer_science,"Explore the world of Ionic CLI by taking our Ionic CLI course here! Whether youx27re new to Ionic CLI or an expert, you can always increase your Ionic CLI skills.",,
