url,course_name,provider_name,category,tags,description
https://www.linkedin.com/learning/design-the-web-pie-charts-with-css,Design the Web: Pie Charts with CSS,Linkedin Learning,computer_science,"[""html"", ""cascading_style_sheets_(css)"", ""web_graphics""]","Learn how to display your data in a pie chart, with nothing more than HTML and CSS. Chris Converse shows how to create complex shapes with CSS3 properties and nested HTML5 elements. The course exercise files are free to _all_ members and contain handy cut-and-paste code snippets that allow you to follow along with the instructions easily. When you're done, you'll have an elegant pie chart that will work in all HTML5-enabled web browsers, including Chrome, Firefox, Safari, and Internet Explorer.

"
https://www.linkedin.com/learning/mapping-the-modern-web-design-process,Mapping the Modern Web Design Process,Linkedin Learning,business,"[""small_business_management"", ""mobile_web_design"", ""responsive_web_design""]","Once you eliminate the trends and terminology, web design is about one thing and one thing only: getting your message across to an online audience. This course offers a 10,000-foot view of the web design process, to help ensure you never lose sight of your users. Morten Rand-Hendriksen takes you on a journey from initial consultation and discovery through content strategy and UX considerations, to development, content creation, design, testing, and launch. By the end, you'll understand the different players and phases and how they fit together in a web design approach focused on meaningful communication and a great user experience.

"
https://www.linkedin.com/learning/joomla-3-essential-training-2-modules-components-extensions-templates,Joomla! 3 Essential Training: 2 Modules Components Extensions & Templates,Linkedin Learning,marketing,"[""content_management_systems_(cms)"", ""joomla""]","Joomla!, the open-source CMS, easily expands to make websites that do almost whatever you want. In this course, Jen Kramer introduces the modules, components, extensions, and templates that will help you take Joomla! further. Learn about the core modules (like custom HTML and search) and then find out how to build out contact forms and redirect web traffic with components, use extensions to create backups and upload media, and change the look of your site with templates. Make sure to test your new skills by taking the practice challenges issued along the way.

"
https://www.linkedin.com/learning/installing-and-running-joomla-3-local-and-web-hosted-sites,Installing and Running Joomla! 3: Local and Web-Hosted Sites,Linkedin Learning,computer_science,"[""front-end_development"", ""content_management_systems_(cms)"", ""joomla""]","Joomla! is one of the most popular open-source content management systems in the world, powering over 30 million websites. In this course Jen Kramer will help you install Joomla! locally or remotely, so you can run it from your own computer or on a web host everyone can access. Learn how to install Joomla! with either WAMP (Windows) or MAMP (Mac) stacks, configure Joomla! on a web host, and move your site from a web-hosted environment to a local one—or vice versa. Plus, learn the keys to administering Joomla!, both locally and remotely, including updating Joomla! when the next version is released.

"
https://www.linkedin.com/learning/wordpress-developer-tips-creating-a-popular-posts-plugin,WordPress Developer Tips: Creating a Popular Posts Plugin,Linkedin Learning,computer_science,"[""front-end_development"", ""wordpress"", ""content_management_systems_(cms)""]","This installment of _WordPress Developer Tips_ offers a simple, code-based method for tracking and displaying popular posts. Staff author Morten Rand-Hendriksen will help you build a custom plugin to track the popularity of posts, based on views, and then create a widget to display a list of the five most popular posts on the front page, or on any other widgetized area, of your WordPress site. This feature will help visitors discover more content on your site, and help site owners understand what posts are trending.

"
https://www.linkedin.com/learning/wordpress-themes-simone,WordPress Themes: Simone,Linkedin Learning,marketing,"[""wordpress"", ""content_management_systems_(cms)""]","You learned how to build new themes in _WordPress: Building Themes from Scratch Using Underscores_. But many members were curious about the example theme Morten Rand-Hendriksen designed. Now he's back to show you how to use that theme, Simone, in your projects. This course will take you through the setup and configuration of Simone and help you get the most out of the post format options.

"
https://www.linkedin.com/learning/design-the-web-svg-rollovers-with-css,Design the Web: SVG Rollovers with CSS,Linkedin Learning,arts_and_design,"[""interactive_web_content"", ""cascading_style_sheets_(css)"", ""web_graphics""]","Learn how to change the color and visibility of SVG graphics with CSS. In this installment of _Design the Web_, author Chris Converse shows how to control the properties of SVG elements with external CSS, and make your graphics update on rollover. Plus, learn how to group multiple SVG graphics and control them with a single rollover state. The exercise files for this course are free to all members, so dive in and start following along now.

"
https://www.linkedin.com/learning/joomla-3-essential-training-1-working-with-content,Joomla! 3 Essential Training: 1 Working with Content,Linkedin Learning,marketing,"[""content_management_systems_(cms)"", ""joomla""]","Find new and interesting ways to display your site content with Joomla!, the open-source CMS, and these tutorials from Jen Kramer. Jen shows how to create and modify the look of categories, articles, lists, and menus, and implement advanced functionality like tagging and version control. She'll teach you how to add links, images, videos, and dropdown menus to your Joomla! site, as well as configure some crucial display options. Make sure to test your new skills by taking the practice challenges issued along the way.  
  
Note: For installation and setup instructions, see the course _Installing and Running Joomla! 3: Local and Web-Hosted Sites_.

"
https://www.linkedin.com/learning/wordpress-developer-tips-adding-category-images,WordPress Developer Tips: Adding Category Images,Linkedin Learning,computer_science,"[""front-end_development"", ""wordpress"", ""content_management_systems_(cms)""]","Make your categories more fun to browse with these _WordPress Developer Tips_. Morten Rand-Hendriksen shows how to add images to categories and tags and provide a more interesting user experience. These tutorials cover installing a plugin to include the basic functionality, adding the actual images, creating a child theme that displays the images, and, finally, creating and styling an index page that displays all of your categories in an elegant and easy-to-navigate way.

"
https://www.linkedin.com/learning/wordpress-developer-tips-dry-development,WordPress Developer Tips: DRY Development,Linkedin Learning,computer_science,"[""front-end_development"", ""wordpress"", ""content_management_systems_(cms)""]","DRY development is ""don't repeat yourself"" development: a smart strategy for reusing code and reducing repetition, wherever possible. This short course shows how to put DRY development techniques into practice in your WordPress sites. Staff author Morten Rand-Hendriksen introduces four techniques for DRY development in WordPress, and shows how they are used in both default themes and custom themes like Simone.  
  
 Find more information in the _WordPress Developer Tips_ course.

"
